V1,V2,beta,alpha1,alpha2,c1tau1,c1tau2,c1tau3,c1tau4,c1tau5,c1tau6,c1tau7,c1tau8,c1tau9,c1tau10,c2tau1,c2tau2,c2tau3,c2tau4,c2tau5,c2tau6,c2tau7,c2tau8,c2tau9,c2tau10,x1,x2,gamma,beta_se,alpha1_se,alpha2_se,c1tau1_se,c1tau2_se,c1tau3_se,c1tau4_se,c1tau5_se,c1tau6_se,c1tau7_se,c1tau8_se,c1tau9_se,c1tau10_se,c2tau1_se,c2tau2_se,c2tau3_se,c2tau4_se,c2tau5_se,c2tau6_se,c2tau7_se,c2tau8_se,c2tau9_se,c2tau10_se,x1_se,x2_se,gamma_se,LL,H0_scaling,parms,AIC,BIC,SSBIC,entropy,x3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,beta,RB,alpha1 ,RB,alpha2,RB,gamma ,RB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.1,102.43606,2,-51.3243155,0,#DIV/0!,1,53.44123,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.1,-85.53581,2,-5.751245,0,,1,-37.000547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.1,-23.685886,2,18.4939,0,,1,-33.263231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.1,-58.353499,2,-3.469995,0,,1,-45.476966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.1,-125.353648,2,-14.49219,0,,1,57.21261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.1,67.52652,2,8.08352,0,,1,43.47223,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.1,179.16465,2,-1.73061,0,,1,22.9827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.1,-37.588651,2,-15.32898,0,,1,39.38474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.1,30.90746,2,94.51731,0,,1,65.23744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,0.1,14.65686,2,11.56062,0,,1,10.25698,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
